Name,Latitude,Longitude,Country,Division,District
Savar,23.8478798,90.2575646,Bangladesh,Dhaka Division,Dhaka District
Alfadanga,23.2897824,89.702771,Bangladesh,Dhaka Division,Faridpur District
Bhanga,23.3853306,89.9836769,Bangladesh,Dhaka Division,Faridpur District
Boalmari,23.3909677,89.6839714,Bangladesh,Dhaka Division,Faridpur District
Charbhadrasan,23.566898,89.995337,Bangladesh,Dhaka Division,Faridpur District
Faridpur-S,23.6018691,89.8333382,Bangladesh,Dhaka Division,Faridpur District
Madhukhali,23.5441366,89.6286955,Bangladesh,Dhaka Division,Faridpur District
Nagarkanda,23.4210186,89.8949443,Bangladesh,Dhaka Division,Faridpur District
Sadarpur,23.46642677,90.03646825,Bangladesh,Dhaka Division,Faridpur District
Saltha,23.4328101,89.7825682,Bangladesh,Dhaka Division,Faridpur District
Gazipur-S,23.9999322,90.4202176,Bangladesh,Dhaka Division,Gazipur District
Kaliakoir,24.0694528,90.2221213,Bangladesh,Dhaka Division,Gazipur District
Kaliganj,23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Kapasia,24.1124202,90.5665658,Bangladesh,Dhaka Division,Gazipur District
Sreepur,24.1996574,90.4809098,Bangladesh,Dhaka Division,Gazipur District
Gopalganj-S,23.013196,89.8225228,Bangladesh,Dhaka Division,Gopalganj District
Kasiani,23.2331635,89.7239244,Bangladesh,Dhaka Division,Gopalganj District
Kotwalipara,22.9892822,90.0279867,Bangladesh,Dhaka Division,Gopalganj District
Muksudpur,23.3197792,89.8668809,Bangladesh,Dhaka Division,Gopalganj District
Tungipara,22.9073374,89.8984508,Bangladesh,Dhaka Division,Gopalganj District
Kalkini,23.075497,90.2268113,Bangladesh,Dhaka Division,Madaripur District
Madaripur-S,23.1649342,90.1939114,Bangladesh,Dhaka Division,Madaripur District
Rajoir,23.2066833,90.0489902,Bangladesh,Dhaka Division,Madaripur District
Shibchar,23.3346105,90.1869644,Bangladesh,Dhaka Division,Madaripur District
Ghior,23.8970866,89.8715596,Bangladesh,Dhaka Division,Manikganj District
Harirampur,23.75113576,89.9710116,Bangladesh,Dhaka Division,Manikganj District
Manikganj-S,23.8644225,90.004663,Bangladesh,Dhaka Division,Manikganj District
Saturia,23.9729721,90.0361533,Bangladesh,Dhaka Division,Dhaka District
Shivalaya,23.84711649,89.70552221,Bangladesh,Dhaka Division,Manikganj District
Singair,23.8136788,90.1460089,Bangladesh,Dhaka Division,Manikganj District
Gazaria,23.5798241,90.6408347,Bangladesh,Dhaka Division,Munshiganj District
Lauhajong,23.4743053,90.3207299,Bangladesh,Dhaka Division,Munshiganj District
Munshiganj-S,23.5416259,90.5302758,Bangladesh,Dhaka Division,Munshiganj District
Sirajdikhan,23.5961616,90.3936722,Bangladesh,Dhaka Division,Munshiganj District
Sreenagar,23.542889,90.2949729,Bangladesh,Dhaka Division,Munshiganj District
Tongibari,23.5096549,90.4667501,Bangladesh,Dhaka Division,Munshiganj District
Araihazar,23.7916557,90.6535914,Bangladesh,Dhaka Division,Narayanganj District
Bandar,23.63316159,90.53153919,Bangladesh,Dhaka Division,Narayanganj District
Narayanganj-S,23.6237724,90.5001616,Bangladesh,Dhaka Division,Narayanganj District
Rupganj,23.8158899,90.5399631,Bangladesh,Dhaka Division,Narayanganj District
Sonargaon,23.6460948,90.5991042,Bangladesh,Dhaka Division,Narayanganj District
Belabo,24.1050631,90.8514464,Bangladesh,Dhaka Division,Narsingdi District
Monohardi,24.1409605,90.7031816,Bangladesh,Dhaka Division,Narsingdi District
Narshingdi-S,23.9192671,90.7176492,Bangladesh,Dhaka Division,Narsingdi District
Palash,23.93720906,90.65429518,Bangladesh,Dhaka Division,Narsingdi District
Raipura,23.9944276,90.8718692,Bangladesh,Dhaka Division,Narsingdi District
Shibpur,23.98061926,90.75262284,Bangladesh,Dhaka Division,Narsingdi District
Baliakandi,23.6346865,89.5474046,Bangladesh,Dhaka Division,Rajbari District
Goalanda,23.7236607,89.7637303,Bangladesh,Dhaka Division,Rajbari District
Kalukhali,23.76552523,89.46910333,Bangladesh,Dhaka Division,Rajbari District
Pangsha,23.7800218,89.412731,Bangladesh,Dhaka Division,Rajbari District
Rajbari-S,23.7638997,89.646737,Bangladesh,Dhaka Division,Rajbari District
Bhedarganj,23.1971305,90.44552,Bangladesh,Dhaka Division,Shariatpur District
Damuddya,23.1390793,90.4396248,Bangladesh,Dhaka Division,Shariatpur District
Goshairhat,23.0988395,90.4525954,Bangladesh,Dhaka Division,Shariatpur District
Zajira,23.34158194,90.35862633,Bangladesh,Dhaka Division,Shariatpur District
Naria,23.3059073,90.4089838,Bangladesh,Dhaka Division,Shariatpur District
Shariatpur-S,23.2197029,90.3501258,Bangladesh,Dhaka Division,Shariatpur District
Kaliganj,23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Daulatpur,23.96538284,89.77911568,Bangladesh,Dhaka Division,Manikganj District
Mohammadpur,23.7661639,90.3588734,Bangladesh,Dhaka Division,Dhaka District
