Iteration 128: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 129: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 130: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 131: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 132: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 133: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 134: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 135: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 136: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 137: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 138: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 139: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 140: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 141: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 142: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 143: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 144: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 145: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 146: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 147: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 148: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 149: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 150: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 151: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 152: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 153: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 154: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 155: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 156: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 157: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 158: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 159: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 160: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 161: Lower Bound = 31800.9, Upper Bound = 45309.1
