Optimal Objective Value (Upper Bound),6095035691.604062
Execution Time (Seconds),0.004159

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
29,Sirajganj-S,207,Mirzapur,6226.000000
29,Sirajganj-S,252,Gabtali,4951.000000
29,Sirajganj-S,280,Ullapara,6576.000000
29,Sirajganj-S,291,Ghatail,8172.000000
29,Sirajganj-S,302,Tangail-S,5134.000000
29,Sirajganj-S,319,Jamalpur-S,5041.000000
29,Sirajganj-S,323,Gopalpur,8109.000000
29,Sirajganj-S,354,Basail,5070.000000
29,Sirajganj-S,367,Shibganj,528.941837
29,Sirajganj-S,371,Sherpur-S,3319.367959
29,Sirajganj-S,413,Kazipur,7094.000000
32,Burichong,48,Porshuram,4971.000000
32,Burichong,64,Fulgazi,3765.669388
32,Burichong,74,Kaliakoir,4251.000000
32,Burichong,82,Debidwar,8745.000000
32,Burichong,105,Brahmanpara,5155.000000
32,Burichong,116,Madan,4255.542347
32,Burichong,137,Kasba,7847.000000
32,Burichong,141,Nangalkot,5293.000000
32,Burichong,149,Kachua,7293.000000
32,Burichong,158,Matlab (Dakshin),4363.000000
32,Burichong,180,Barura,5995.000000
32,Burichong,304,Tarail,3854.536735
32,Burichong,307,Shahrasti,7783.000000
32,Burichong,325,Chandina,8419.000000
32,Burichong,336,Kachua,5743.000000
32,Burichong,351,Sujanagar,4271.000000
32,Burichong,352,Cumilla-S Daksin,5652.000000
32,Burichong,373,Haziganj,5930.000000
32,Burichong,403,Cumilla-S,6997.000000
32,Burichong,418,Chouddagram,8937.000000
33,Galachipa,17,Rangabali,8789.000000
33,Galachipa,33,Laksham,4076.000000
33,Galachipa,97,Charfassion,8890.000000
33,Galachipa,134,Tazumuddin,4029.000000
33,Galachipa,186,Monpura,8889.000000
33,Galachipa,198,Taltali,8954.000000
33,Galachipa,257,Mirzaganj,1907.850714
33,Galachipa,259,Shyamnagar,768.326020
33,Galachipa,320,Barguna-S,6057.000000
33,Galachipa,349,Patharghata,8979.000000
33,Galachipa,365,Amtali,6228.000000
33,Galachipa,387,Dashmina,5576.000000
33,Galachipa,411,Kalapara,8308.000000
34,Dumki,3,Jhenaidah-S,4316.000000
34,Dumki,53,Kathalia,8066.000000
34,Dumki,58,Sharankhola,4901.000000
34,Dumki,76,Borhanuddin,7209.000000
34,Dumki,88,Nalchity,4397.000000
34,Dumki,113,Ramganj,4127.000000
34,Dumki,171,Mothbaria,8463.000000
34,Dumki,173,Mollahat,4221.000000
34,Dumki,204,Kamalnagar,4192.000000
34,Dumki,224,Betagi,4498.000000
34,Dumki,248,Kawkhali,4384.000000
34,Dumki,259,Shyamnagar,3308.673980
34,Dumki,260,Dacope,4090.000000
34,Dumki,272,Daulatkhan,7149.000000
34,Dumki,294,Zianagar,4478.000000
34,Dumki,304,Tarail,294.463265
34,Dumki,306,Bamna,8350.000000
34,Dumki,332,Monirampur,4526.000000
34,Dumki,337,Lalmohan,4984.000000
34,Dumki,339,Bhandaria,4499.000000
34,Dumki,399,Bakerganj,6722.000000
34,Dumki,412,Patuakhali-S,4427.000000
34,Dumki,429,Lalmai,4084.000000
34,Dumki,443,B.Baria-S,4128.000000
34,Dumki,444,Bauphal,8560.000000
35,Faridpur,45,Harirampur,6464.000000
35,Faridpur,62,Naria,2267.590408
35,Faridpur,63,Mohammadpur,5032.000000
35,Faridpur,96,Saturia,7687.000000
35,Faridpur,107,Bhanga,8749.000000
35,Faridpur,125,Magura-S,8021.000000
35,Faridpur,176,Manikganj-S,4672.000000
35,Faridpur,216,Kalihati,2485.725714
35,Faridpur,261,Sirajdikhan,4673.000000
35,Faridpur,264,Faridpur-S,5729.000000
35,Faridpur,267,Sreenagar,3909.085204
35,Faridpur,271,Saltha,7730.000000
35,Faridpur,274,Sadarpur,7463.000000
35,Faridpur,279,Nagarkanda,6680.000000
