Optimal Objective Value (Upper Bound),5782607949.337923
Execution Time (Seconds),9.042133

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
34,Dumki,134,Tazumuddin,4029.000000
34,Dumki,171,Mothbaria,8463.000000
34,Dumki,192,Jhalokathi-S,8099.000000
34,Dumki,204,Kamalnagar,4192.000000
34,Dumki,224,Betagi,4498.000000
34,Dumki,235,Ramgati,5482.000000
34,Dumki,239,Bhola-S,6807.000000
34,Dumki,257,Mirzaganj,4016.000000
34,Dumki,272,Daulatkhan,7149.000000
34,Dumki,294,Zianagar,4478.000000
34,Dumki,306,Bamna,8350.000000
34,Dumki,335,Rajapur,5707.000000
34,Dumki,337,Lalmohan,2866.823265
34,Dumki,339,Bhandaria,4499.000000
34,Dumki,358,Barishal-S,5456.313980
34,Dumki,399,Bakerganj,6722.000000
34,Dumki,412,Patuakhali-S,4427.000000
34,Dumki,444,Bauphal,8560.000000
36,Khaliajuri,0,Sullah,5085.000000
36,Khaliajuri,22,Haluaghat,7298.000000
36,Khaliajuri,28,Netrakona-S,6200.000000
36,Khaliajuri,95,Azmiriganj,5915.000000
36,Khaliajuri,116,Madan,4303.000000
36,Khaliajuri,119,Mithamoin,5352.361735
36,Khaliajuri,132,Derai,7572.000000
36,Khaliajuri,193,Kendua,5995.000000
36,Khaliajuri,208,Karimganj,6939.000000
36,Khaliajuri,231,Atpara,8095.000000
36,Khaliajuri,244,Mohanganj,8214.000000
36,Khaliajuri,249,Kishoreganj-S,1733.009796
36,Khaliajuri,258,Kishoreganj,8236.000000
36,Khaliajuri,304,Tarail,4149.000000
36,Khaliajuri,330,Dharmapasha,5802.000000
36,Khaliajuri,340,Phulpur,5487.715816
36,Khaliajuri,353,Barhatta,6884.000000
36,Khaliajuri,368,Nandail,6337.000000
36,Khaliajuri,380,Itna,4142.000000
36,Khaliajuri,439,Muktagacha,6667.000000
37,Jhikargacha,81,Salikha,8043.000000
37,Jhikargacha,101,Moheshpur,7068.000000
37,Jhikargacha,159,Chowgacha,4783.000000
37,Jhikargacha,265,Abhaynagar,4991.000000
37,Jhikargacha,266,Kotchandpur,4772.000000
37,Jhikargacha,295,Sharsha,289.943878
37,Jhikargacha,332,Monirampur,4526.000000
37,Jhikargacha,400,Jashore-S,5170.000000
37,Jhikargacha,425,Bagherpara,4624.000000
39,Baliadangi,19,Haripur,5111.000000
39,Baliadangi,68,Boda,1794.299388
39,Baliadangi,109,Ranisankail,8719.000000
39,Baliadangi,165,Tetulia,6479.000000
39,Baliadangi,226,Thakurgaon-S,5595.000000
39,Baliadangi,237,Panchagarh-S,5355.000000
39,Baliadangi,245,Melandaha,7998.000000
39,Baliadangi,377,Atwari,6757.000000
40,Sonargaon,51,Daudkandi,7738.000000
40,Sonargaon,55,Lakshmipur-Sadar,794.286735
40,Sonargaon,63,Mohammadpur,5032.000000
40,Sonargaon,113,Ramganj,290.706837
40,Sonargaon,123,Gazaria,4434.000000
40,Sonargaon,133,Gazipur-S,6620.000000
40,Sonargaon,158,Matlab (Dakshin),4363.000000
40,Sonargaon,164,Keraniganj,5983.000000
