Optimal Objective Value (Upper Bound),1215009497.387531

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
28,Chandanish,299,Lohagara,5851.000000
28,Chandanish,301,Lohagara,6135.000000
28,Chandanish,308,Banskhali,4236.000000
28,Chandanish,440,Kutubdia,4192.000000
29,Sirajganj-S,15,Belkuchi,7253.000000
29,Sirajganj-S,23,Shakhipur,4794.000000
29,Sirajganj-S,44,Delduar,8318.000000
29,Sirajganj-S,57,Kamarkhand,5565.000000
29,Sirajganj-S,98,Madhupur,6868.000000
29,Sirajganj-S,145,Bhuapur,5885.000000
29,Sirajganj-S,150,Dhanbari,7066.000000
29,Sirajganj-S,216,Kalihati,5139.000000
29,Sirajganj-S,280,Ullapara,4800.000000
29,Sirajganj-S,291,Ghatail,6715.000000
29,Sirajganj-S,302,Tangail-S,4908.000000
29,Sirajganj-S,312,Raiganj,5240.000000
29,Sirajganj-S,323,Gopalpur,5645.000000
29,Sirajganj-S,354,Basail,6869.000000
29,Sirajganj-S,413,Kazipur,7150.000000
30,Thanchi,21,Lama,8999.000000
30,Thanchi,72,Moheskhali,7997.000000
30,Thanchi,117,Alikadam,4249.000000
30,Thanchi,126,Teknaf,6641.000000
30,Thanchi,151,Cox'S Bazar-S,8922.000000
30,Thanchi,191,Ramu,8422.000000
30,Thanchi,211,Ruma,7648.000000
30,Thanchi,242,Naikhyongchari,5363.000000
30,Thanchi,278,Chakoria,7502.000000
30,Thanchi,326,Ukhiya,4986.000000
30,Thanchi,343,Eidgaon,7883.000000
31,Kanaighat,42,Jaintiapur,7190.000000
31,Kanaighat,66,Beanibazar,5765.000000
31,Kanaighat,183,Zakiganj,4829.000000
31,Kanaighat,362,Gowainghat,8504.000000
32,Burichong,33,Laksham,5778.000000
32,Burichong,82,Debidwar,4587.000000
32,Burichong,105,Brahmanpara,7220.000000
32,Burichong,137,Kasba,8930.000000
32,Burichong,149,Kachua,6774.000000
32,Burichong,180,Barura,8699.000000
32,Burichong,307,Shahrasti,5197.000000
32,Burichong,325,Chandina,5327.000000
32,Burichong,336,Kachua,7675.000000
32,Burichong,352,Cumilla-S Daksin,8809.000000
32,Burichong,373,Haziganj,5134.000000
32,Burichong,403,Cumilla-S,7921.000000
32,Burichong,418,Chouddagram,4984.000000
32,Burichong,429,Lalmai,8654.000000
33,Galachipa,17,Rangabali,5833.000000
33,Galachipa,97,Charfassion,7961.000000
33,Galachipa,186,Monpura,8615.000000
33,Galachipa,198,Taltali,4195.000000
33,Galachipa,320,Barguna-S,6218.000000
33,Galachipa,349,Patharghata,4710.000000
33,Galachipa,365,Amtali,8814.000000
33,Galachipa,387,Dashmina,4550.000000
33,Galachipa,411,Kalapara,4868.000000
34,Dumki,53,Kathalia,4619.000000
34,Dumki,58,Sharankhola,5130.000000
34,Dumki,76,Borhanuddin,6651.000000
34,Dumki,134,Tazumuddin,5842.000000
34,Dumki,171,Mothbaria,5758.000000
34,Dumki,224,Betagi,4983.000000
34,Dumki,257,Mirzaganj,6218.000000
34,Dumki,306,Bamna,5282.000000
34,Dumki,337,Lalmohan,4115.000000
34,Dumki,339,Bhandaria,7433.000000
34,Dumki,399,Bakerganj,5216.000000
34,Dumki,412,Patuakhali-S,5001.000000
34,Dumki,444,Bauphal,7331.000000
35,Faridpur,125,Magura-S,6300.000000
35,Faridpur,264,Faridpur-S,6882.000000
35,Faridpur,271,Saltha,7186.000000
35,Faridpur,281,Baliakandi,4812.000000
