iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
111   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
112   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
113   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
114   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
115   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
116   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
117   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
118   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
119   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
120   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
121   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
122   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
123   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
124   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
125   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
126   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
127   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
128   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
129   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
130   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
131   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
132   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
133   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
134   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
135   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
136   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
137   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
138   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
139   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
140   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
141   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
142   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
143   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
144   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
145   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
146   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
147   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
148   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
149   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
150   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
151   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
152   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
153   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
154   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
155   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
156   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
157   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
158   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
159   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
160   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
161   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
162   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
163   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
164   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
165   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
166   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
167   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
168   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
169   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
170   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
171   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
172   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
173   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
174   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
175   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
176   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
177   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
178   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
179   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
180   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
181   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
182   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
183   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
184   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
185   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
186   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
187   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
188   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
