Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Fatikchari,Ok,"Fatikchhari Upazila, Bangladesh",22.7587557,91.7388135,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Hathazari,Ok,"Hathazari, Bangladesh",22.5084634,91.8074586,"locality, political",APPROXIMATE,,,,Hathazari,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Karnaphuli,Ok,"Karnaphuli River, Bangladesh",22.58188252,92.10685573,"establishment, natural_feature",APPROXIMATE,,,,,Bangladesh,Chittagong Division,,
Lohagara,"2 found, use single geocode.","Lohagara, Bangladesh",22.0401954,92.1008486,"locality, political",APPROXIMATE,,,,Lohagara,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Mirsharai,Ok,"Mirsharai, Bangladesh",22.773039,91.5741517,"locality, political",APPROXIMATE,,,,Mirsharai,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Patiya,"3 found, use single geocode.","Patiya, Bangladesh",22.2949889,91.9759204,"locality, political",APPROXIMATE,,,,Patiya,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Rangunia,"2 found, use single geocode.","Rangunia, Bangladesh",22.4698078,92.0518154,"locality, political",APPROXIMATE,,,,Rangunia,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Raojan,"2 found, use single geocode.","Raozan Upazila, Bangladesh",22.5348906,91.9104006,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Sandwip,Ok,"Sandwip, Bangladesh",22.4937132,91.5015009,"establishment, natural_feature",APPROXIMATE,,,,,Bangladesh,Chittagong Division,,
Satkania,"2 found, use single geocode.","Satkania Upazila, Bangladesh",22.1000226,92.0812156,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Sitakunda,"2 found, use single geocode.","Sitakund, Bangladesh",22.6170686,91.6809283,"locality, political",APPROXIMATE,,,,Sitakund,Bangladesh,Chittagong Division,Chittagong District,Chittagong District
Chakoria,Ok,"Chakaria Upazila, Bangladesh",21.7250394,92.0469151,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Cox'S Bazar-S,Ok,"Cox's Bazar, Bangladesh",21.4272283,92.0058074,"locality, political",APPROXIMATE,,,,Cox's Bazar,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Kutubdia,Ok,"Kutubdia Upazila, Kutubdia, Bangladesh",21.816667,91.858333,"establishment, natural_feature",APPROXIMATE,,,,Kutubdia,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Moheskhali,"Ok, partial match","Moheskhali Upazila, Bangladesh",21.5373654,91.9417617,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Pekua,"2 found, use single geocode.","Pekua, Bangladesh",21.8327393,91.9573985,"locality, political",APPROXIMATE,,,,Pekua,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Ramu,"2 found, use single geocode.","Ramu Upazila, Bangladesh",21.4380193,92.1253854,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Teknaf,"2 found, use single geocode.","Teknaf, Bangladesh",20.8578385,92.2975183,"locality, political",APPROXIMATE,,,,Teknaf,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
Ukhiya,Ok,"Ukhiya Upazila, Bangladesh",21.2446617,92.1389158,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Cox's Bazar District,Cox's Bazar District
