
ID      Weight    Value     
4601    81        367       
4604    83        494       
4609    1         556       
4620    73        575       
4623    80        890       
4628    123       957       
4654    130       813       
4660    114       697       
4663    23        288       
4681    107       966       
4682    66        404       
4690    134       664       
4692    27        363       
4706    78        630       
4719    66        592       
4722    20        363       
4727    127       539       
4741    104       916       
4742    10        230       
4749    33        274       
4756    50        965       
4782    13        477       
4783    70        576       
4786    132       552       
4787    135       705       
4789    176       826       
4795    43        178       
4804    41        692       
4806    69        633       
4809    34        242       
4819    87        814       
4822    79        376       
4827    18        954       
4844    49        476       
4849    56        591       
4861    121       904       
4881    134       957       
4882    48        887       
4891    48        221       
4899    93        633       
4907    69        381       
4909    15        440       
4931    2         986       
4949    31        183       
4954    87        843       
4961    38        720       
4965    106       581       
4983    178       879       
4987    39        811       
4989    29        565       
4990    33        721       
4991    114       947       
4996    60        625       
5030    36        471       
5032    55        653       
5038    11        134       
5085    15        732       
5091    10        569       
5111    50        613       
5119    17        801       
5121    51        836       
5124    38        264       
5128    130       861       
5129    31        997       
5157    170       963       
5173    26        195       
5176    97        439       
5179    128       543       
5190    13        891       
5199    115       549       
5210    80        953       
5211    87        763       
5212    43        952       
5219    188       794       
5221    219       936       
5227    39        912       
5231    45        215       
5235    199       886       
5256    109       586       
5276    16        735       
5278    169       958       
5280    235       998       
5304    22        633       
5325    123       705       
5344    13        350       
5349    113       823       
5351    29        398       
5355    88        603       
5361    1         950       
5363    15        988       
5365    162       675       
5370    187       853       
5373    29        120       
5382    41        516       
5392    2         910       
5394    118       723       
5416    60        891       
5420    78        857       
5426    62        720       
5427    136       707       
5435    60        743       
5436    36        883       
5461    19        923       
5475    98        893       
5477    168       707       
5483    164       875       
5486    100       620       
5493    82        677       
5496    172       959       
5503    52        863       
5504    144       982       
5511    52        512       
5517    35        730       
5522    86        868       
5524    68        576       
5528    100       491       
5532    137       880       
5539    23        690       
5551    16        536       
5558    7         83        
5567    58        909       
5568    41        192       
5616    138       765       
5618    148       612       
5626    243       999       
5629    55        815       
5644    44        188       
5648    134       910       
5653    94        617       
5668    62        484       
5675    39        164       
5680    111       904       
5685    20        450       
5693    211       954       
5698    34        907       
5705    159       850       
5712    189       980       
5722    12        716       
5732    154       697       
5733    43        299       
5744    88        776       
5746    79        688       
5752    57        373       
5782    63        934       
5792    132       582       
5804    195       883       
5810    109       447       
5828    8         234       
5829    148       893       
5830    44        559       
5834    21        218       
5839    7         381       
5843    3         949       
5846    61        575       
5848    206       1000      
5866    70        925       
5869    41        719       
5870    14        676       
5886    200       977       
5890    61        739       
5894    132       602       
5913    66        852       
5915    3         788       
5917    160       967       
5926    195       870       
5927    54        996       
5936    143       594       
5944    49        702       
5952    110       767       
5957    50        658       
5961    123       859       
5964    1         524       
5975    67        383       
5986    8         668       
5990    89        764       
5993    54        788       
6009    119       806       
6022    101       845       
6030    117       696       
6039    93        909       
6049    160       962       
6052    189       899       
6062    16        460       
6071    129       773       
6080    65        805       
6089    6         684       
6116    50        239       
6120    5         805       
6133    3         163       
6134    66        297       
6144    129       808       
6152    17        796       
6168    32        459       
6189    86        675       
6196    52        757       
6198    101       438       
6201    215       942       
6206    170       888       
6210    61        359       
6212    116       580       
6214    17        330       
6217    59        911       
6231    41        631       
6237    37        418       
6244    9         379       
6252    5         254       
6264    84        449       
6271    116       809       
6272    6         986       
6279    159       768       
6294    25        655       
6302    4         427       
6321    102       819       
6323    144       751       
6330    84        866       
6341    67        673       
6343    120       796       
6345    161       696       
6359    55        379       
6369    55        267       
6372    217       927       
6408    4         426       
6424    38        278       
6426    70        901       
6427    42        209       
6444    50        378       
6454    52        748       
6457    204       833       
6463    66        726       
6467    43        464       
6474    78        442       
6486    56        897       
6532    147       762       
6542    33        615       
6546    6         742       
6572    151       966       
6580    26        765       
6584    68        835       
6586    77        621       
6587    15        228       
6594    141       963       
6596    80        964       
6599    66        559       
6620    111       721       
6623    1         813       
6629    167       901       
6633    20        163       
6634    136       599       
6635    23        598       
6645    36        601       
6650    35        429       
6652    78        869       
6654    173       980       
6663    137       806       
6673    15        770       
6700    119       680       
6711    69        936       
6713    40        382       
6722    45        463       
6723    127       530       
6727    34        322       
6732    34        780       
6742    15        839       
6750    69        941       
